查询润泽园区A1数据中心M1模组一层的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001"", ""name"": ""润泽园区A1数据中心M1模组一层"", ""parent_id"": ""P001_A001_M001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层101机房的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R001"", ""name"": ""润泽园区A1数据中心M1模组一层101机房"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层变配电室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R003"", ""name"": ""润泽园区A1数据中心M1模组一层变配电室A"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层变配电室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R004"", ""name"": ""润泽园区A1数据中心M1模组一层变配电室B"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层动力UPS电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R005"", ""name"": ""润泽园区A1数据中心M1模组一层动力UPS电池室A"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层动力UPS电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R006"", ""name"": ""润泽园区A1数据中心M1模组一层动力UPS电池室B"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层机房UPS电力室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R007"", ""name"": ""润泽园区A1数据中心M1模组一层机房UPS电力室A"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层机房UPS电力室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R008"", ""name"": ""润泽园区A1数据中心M1模组一层机房UPS电力室B"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层机房UPS电池室A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R009"", ""name"": ""润泽园区A1数据中心M1模组一层机房UPS电池室A"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层机房UPS电池室B的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R010"", ""name"": ""润泽园区A1数据中心M1模组一层机房UPS电池室B"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
查询润泽园区A1数据中心M1模组一层冷冻站A的报告状态和存活状态，以及父节点信息。|"{""addr_id"": ""P001_A001_M001_F001_R011"", ""name"": ""润泽园区A1数据中心M1模组一层冷冻站A"", ""parent_id"": ""P001_A001_M001_F001"", ""report"": 0, ""life"": 1}"
